Played,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Team,Opposition,HomeAway,Result,MatchPoints,Points,GF,GA,GD,W,D,L,Season,League
1,E0,2015-08-09,Arsenal,West Ham,0.0,2.0,A,Arsenal,West Ham,H,L,0,0,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
2,E0,2015-08-16,Crystal Palace,Arsenal,1.0,2.0,A,Arsenal,Crystal Palace,A,W,3,3,2.0,1.0,1.0,1,0,0,2015-16,Premier League
3,E0,2015-08-24,Arsenal,Liverpool,0.0,0.0,D,Arsenal,Liverpool,H,D,1,4,0.0,0.0,0.0,0,1,0,2015-16,Premier League
4,E0,2015-08-29,Newcastle,Arsenal,0.0,1.0,A,Arsenal,Newcastle,A,W,3,7,1.0,0.0,1.0,1,0,0,2015-16,Premier League
5,E0,2015-09-12,Arsenal,Stoke,2.0,0.0,H,Arsenal,Stoke,H,W,3,10,2.0,0.0,2.0,1,0,0,2015-16,Premier League
6,E0,2015-09-19,Chelsea,Arsenal,2.0,0.0,H,Arsenal,Chelsea,A,L,0,10,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
7,E0,2015-09-26,Leicester,Arsenal,2.0,5.0,A,Arsenal,Leicester,A,W,3,13,5.0,2.0,3.0,1,0,0,2015-16,Premier League
8,E0,2015-10-04,Arsenal,Man United,3.0,0.0,H,Arsenal,Man United,H,W,3,16,3.0,0.0,3.0,1,0,0,2015-16,Premier League
9,E0,2015-10-17,Watford,Arsenal,0.0,3.0,A,Arsenal,Watford,A,W,3,19,3.0,0.0,3.0,1,0,0,2015-16,Premier League
10,E0,2015-10-24,Arsenal,Everton,2.0,1.0,H,Arsenal,Everton,H,W,3,22,2.0,1.0,1.0,1,0,0,2015-16,Premier League
11,E0,2015-10-31,Swansea,Arsenal,0.0,3.0,A,Arsenal,Swansea,A,W,3,25,3.0,0.0,3.0,1,0,0,2015-16,Premier League
12,E0,2015-11-08,Arsenal,Tottenham,1.0,1.0,D,Arsenal,Tottenham,H,D,1,26,1.0,1.0,0.0,0,1,0,2015-16,Premier League
13,E0,2015-11-21,West Brom,Arsenal,2.0,1.0,H,Arsenal,West Brom,A,L,0,26,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
14,E0,2015-11-29,Norwich,Arsenal,1.0,1.0,D,Arsenal,Norwich,A,D,1,27,1.0,1.0,0.0,0,1,0,2015-16,Premier League
15,E0,2015-12-05,Arsenal,Sunderland,3.0,1.0,H,Arsenal,Sunderland,H,W,3,30,3.0,1.0,2.0,1,0,0,2015-16,Premier League
16,E0,2015-12-13,Aston Villa,Arsenal,0.0,2.0,A,Arsenal,Aston Villa,A,W,3,33,2.0,0.0,2.0,1,0,0,2015-16,Premier League
17,E0,2015-12-21,Arsenal,Man City,2.0,1.0,H,Arsenal,Man City,H,W,3,36,2.0,1.0,1.0,1,0,0,2015-16,Premier League
18,E0,2015-12-26,Southampton,Arsenal,4.0,0.0,H,Arsenal,Southampton,A,L,0,36,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
19,E0,2015-12-28,Arsenal,Bournemouth,2.0,0.0,H,Arsenal,Bournemouth,H,W,3,39,2.0,0.0,2.0,1,0,0,2015-16,Premier League
20,E0,2016-01-02,Arsenal,Newcastle,1.0,0.0,H,Arsenal,Newcastle,H,W,3,42,1.0,0.0,1.0,1,0,0,2015-16,Premier League
21,E0,2016-01-13,Liverpool,Arsenal,3.0,3.0,D,Arsenal,Liverpool,A,D,1,43,3.0,3.0,0.0,0,1,0,2015-16,Premier League
22,E0,2016-01-17,Stoke,Arsenal,0.0,0.0,D,Arsenal,Stoke,A,D,1,44,0.0,0.0,0.0,0,1,0,2015-16,Premier League
23,E0,2016-01-24,Arsenal,Chelsea,0.0,1.0,A,Arsenal,Chelsea,H,L,0,44,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
24,E0,2016-02-02,Arsenal,Southampton,0.0,0.0,D,Arsenal,Southampton,H,D,1,45,0.0,0.0,0.0,0,1,0,2015-16,Premier League
25,E0,2016-02-07,Bournemouth,Arsenal,0.0,2.0,A,Arsenal,Bournemouth,A,W,3,48,2.0,0.0,2.0,1,0,0,2015-16,Premier League
26,E0,2016-02-14,Arsenal,Leicester,2.0,1.0,H,Arsenal,Leicester,H,W,3,51,2.0,1.0,1.0,1,0,0,2015-16,Premier League
27,E0,2016-02-28,Man United,Arsenal,3.0,2.0,H,Arsenal,Man United,A,L,0,51,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
28,E0,2016-03-02,Arsenal,Swansea,1.0,2.0,A,Arsenal,Swansea,H,L,0,51,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
29,E0,2016-03-05,Tottenham,Arsenal,2.0,2.0,D,Arsenal,Tottenham,A,D,1,52,2.0,2.0,0.0,0,1,0,2015-16,Premier League
30,E0,2016-03-19,Everton,Arsenal,0.0,2.0,A,Arsenal,Everton,A,W,3,55,2.0,0.0,2.0,1,0,0,2015-16,Premier League
31,E0,2016-04-02,Arsenal,Watford,4.0,0.0,H,Arsenal,Watford,H,W,3,58,4.0,0.0,4.0,1,0,0,2015-16,Premier League
32,E0,2016-04-09,West Ham,Arsenal,3.0,3.0,D,Arsenal,West Ham,A,D,1,59,3.0,3.0,0.0,0,1,0,2015-16,Premier League
33,E0,2016-04-17,Arsenal,Crystal Palace,1.0,1.0,D,Arsenal,Crystal Palace,H,D,1,60,1.0,1.0,0.0,0,1,0,2015-16,Premier League
34,E0,2016-04-21,Arsenal,West Brom,2.0,0.0,H,Arsenal,West Brom,H,W,3,63,2.0,0.0,2.0,1,0,0,2015-16,Premier League
35,E0,2016-04-24,Sunderland,Arsenal,0.0,0.0,D,Arsenal,Sunderland,A,D,1,64,0.0,0.0,0.0,0,1,0,2015-16,Premier League
36,E0,2016-04-30,Arsenal,Norwich,1.0,0.0,H,Arsenal,Norwich,H,W,3,67,1.0,0.0,1.0,1,0,0,2015-16,Premier League
37,E0,2016-05-08,Man City,Arsenal,2.0,2.0,D,Arsenal,Man City,A,D,1,68,2.0,2.0,0.0,0,1,0,2015-16,Premier League
38,E0,2016-05-15,Arsenal,Aston Villa,4.0,0.0,H,Arsenal,Aston Villa,H,W,3,71,4.0,0.0,4.0,1,0,0,2015-16,Premier League
1,E0,2015-08-08,Bournemouth,Aston Villa,0.0,1.0,A,Aston Villa,Bournemouth,A,W,3,3,1.0,0.0,1.0,1,0,0,2015-16,Premier League
2,E0,2015-08-14,Aston Villa,Man United,0.0,1.0,A,Aston Villa,Man United,H,L,0,3,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
3,E0,2015-08-22,Crystal Palace,Aston Villa,2.0,1.0,H,Aston Villa,Crystal Palace,A,L,0,3,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
4,E0,2015-08-29,Aston Villa,Sunderland,2.0,2.0,D,Aston Villa,Sunderland,H,D,1,4,2.0,2.0,0.0,0,1,0,2015-16,Premier League
5,E0,2015-09-13,Leicester,Aston Villa,3.0,2.0,H,Aston Villa,Leicester,A,L,0,4,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
6,E0,2015-09-19,Aston Villa,West Brom,0.0,1.0,A,Aston Villa,West Brom,H,L,0,4,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
7,E0,2015-09-26,Liverpool,Aston Villa,3.0,2.0,H,Aston Villa,Liverpool,A,L,0,4,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
8,E0,2015-10-03,Aston Villa,Stoke,0.0,1.0,A,Aston Villa,Stoke,H,L,0,4,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
9,E0,2015-10-17,Chelsea,Aston Villa,2.0,0.0,H,Aston Villa,Chelsea,A,L,0,4,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
10,E0,2015-10-24,Aston Villa,Swansea,1.0,2.0,A,Aston Villa,Swansea,H,L,0,4,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
11,E0,2015-11-02,Tottenham,Aston Villa,3.0,1.0,H,Aston Villa,Tottenham,A,L,0,4,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
12,E0,2015-11-08,Aston Villa,Man City,0.0,0.0,D,Aston Villa,Man City,H,D,1,5,0.0,0.0,0.0,0,1,0,2015-16,Premier League
13,E0,2015-11-21,Everton,Aston Villa,4.0,0.0,H,Aston Villa,Everton,A,L,0,5,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
14,E0,2015-11-28,Aston Villa,Watford,2.0,3.0,A,Aston Villa,Watford,H,L,0,5,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
15,E0,2015-12-05,Southampton,Aston Villa,1.0,1.0,D,Aston Villa,Southampton,A,D,1,6,1.0,1.0,0.0,0,1,0,2015-16,Premier League
16,E0,2015-12-13,Aston Villa,Arsenal,0.0,2.0,A,Aston Villa,Arsenal,H,L,0,6,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
17,E0,2015-12-19,Newcastle,Aston Villa,1.0,1.0,D,Aston Villa,Newcastle,A,D,1,7,1.0,1.0,0.0,0,1,0,2015-16,Premier League
18,E0,2015-12-26,Aston Villa,West Ham,1.0,1.0,D,Aston Villa,West Ham,H,D,1,8,1.0,1.0,0.0,0,1,0,2015-16,Premier League
19,E0,2015-12-28,Norwich,Aston Villa,2.0,0.0,H,Aston Villa,Norwich,A,L,0,8,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
20,E0,2016-01-02,Sunderland,Aston Villa,3.0,1.0,H,Aston Villa,Sunderland,A,L,0,8,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
21,E0,2016-01-12,Aston Villa,Crystal Palace,1.0,0.0,H,Aston Villa,Crystal Palace,H,W,3,11,1.0,0.0,1.0,1,0,0,2015-16,Premier League
22,E0,2016-01-16,Aston Villa,Leicester,1.0,1.0,D,Aston Villa,Leicester,H,D,1,12,1.0,1.0,0.0,0,1,0,2015-16,Premier League
23,E0,2016-01-23,West Brom,Aston Villa,0.0,0.0,D,Aston Villa,West Brom,A,D,1,13,0.0,0.0,0.0,0,1,0,2015-16,Premier League
24,E0,2016-02-02,West Ham,Aston Villa,2.0,0.0,H,Aston Villa,West Ham,A,L,0,13,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
25,E0,2016-02-06,Aston Villa,Norwich,2.0,0.0,H,Aston Villa,Norwich,H,W,3,16,2.0,0.0,2.0,1,0,0,2015-16,Premier League
26,E0,2016-02-14,Aston Villa,Liverpool,0.0,6.0,A,Aston Villa,Liverpool,H,L,0,16,0.0,6.0,-6.0,0,0,1,2015-16,Premier League
27,E0,2016-02-27,Stoke,Aston Villa,2.0,1.0,H,Aston Villa,Stoke,A,L,0,16,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
28,E0,2016-03-01,Aston Villa,Everton,1.0,3.0,A,Aston Villa,Everton,H,L,0,16,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
29,E0,2016-03-05,Man City,Aston Villa,4.0,0.0,H,Aston Villa,Man City,A,L,0,16,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
30,E0,2016-03-13,Aston Villa,Tottenham,0.0,2.0,A,Aston Villa,Tottenham,H,L,0,16,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
31,E0,2016-03-19,Swansea,Aston Villa,1.0,0.0,H,Aston Villa,Swansea,A,L,0,16,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
32,E0,2016-04-02,Aston Villa,Chelsea,0.0,4.0,A,Aston Villa,Chelsea,H,L,0,16,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
33,E0,2016-04-09,Aston Villa,Bournemouth,1.0,2.0,A,Aston Villa,Bournemouth,H,L,0,16,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
34,E0,2016-04-16,Man United,Aston Villa,1.0,0.0,H,Aston Villa,Man United,A,L,0,16,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
35,E0,2016-04-23,Aston Villa,Southampton,2.0,4.0,A,Aston Villa,Southampton,H,L,0,16,2.0,4.0,-2.0,0,0,1,2015-16,Premier League
36,E0,2016-04-30,Watford,Aston Villa,3.0,2.0,H,Aston Villa,Watford,A,L,0,16,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
37,E0,2016-05-07,Aston Villa,Newcastle,0.0,0.0,D,Aston Villa,Newcastle,H,D,1,17,0.0,0.0,0.0,0,1,0,2015-16,Premier League
38,E0,2016-05-15,Arsenal,Aston Villa,4.0,0.0,H,Aston Villa,Arsenal,A,L,0,17,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
1,E0,2015-08-08,Bournemouth,Aston Villa,0.0,1.0,A,Bournemouth,Aston Villa,H,L,0,0,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
2,E0,2015-08-17,Liverpool,Bournemouth,1.0,0.0,H,Bournemouth,Liverpool,A,L,0,0,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
3,E0,2015-08-22,West Ham,Bournemouth,3.0,4.0,A,Bournemouth,West Ham,A,W,3,3,4.0,3.0,1.0,1,0,0,2015-16,Premier League
4,E0,2015-08-29,Bournemouth,Leicester,1.0,1.0,D,Bournemouth,Leicester,H,D,1,4,1.0,1.0,0.0,0,1,0,2015-16,Premier League
5,E0,2015-09-12,Norwich,Bournemouth,3.0,1.0,H,Bournemouth,Norwich,A,L,0,4,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
6,E0,2015-09-19,Bournemouth,Sunderland,2.0,0.0,H,Bournemouth,Sunderland,H,W,3,7,2.0,0.0,2.0,1,0,0,2015-16,Premier League
7,E0,2015-09-26,Stoke,Bournemouth,2.0,1.0,H,Bournemouth,Stoke,A,L,0,7,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
8,E0,2015-10-03,Bournemouth,Watford,1.0,1.0,D,Bournemouth,Watford,H,D,1,8,1.0,1.0,0.0,0,1,0,2015-16,Premier League
9,E0,2015-10-17,Man City,Bournemouth,5.0,1.0,H,Bournemouth,Man City,A,L,0,8,1.0,5.0,-4.0,0,0,1,2015-16,Premier League
10,E0,2015-10-25,Bournemouth,Tottenham,1.0,5.0,A,Bournemouth,Tottenham,H,L,0,8,1.0,5.0,-4.0,0,0,1,2015-16,Premier League
11,E0,2015-11-01,Southampton,Bournemouth,2.0,0.0,H,Bournemouth,Southampton,A,L,0,8,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
12,E0,2015-11-07,Bournemouth,Newcastle,0.0,1.0,A,Bournemouth,Newcastle,H,L,0,8,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
13,E0,2015-11-21,Swansea,Bournemouth,2.0,2.0,D,Bournemouth,Swansea,A,D,1,9,2.0,2.0,0.0,0,1,0,2015-16,Premier League
14,E0,2015-11-28,Bournemouth,Everton,3.0,3.0,D,Bournemouth,Everton,H,D,1,10,3.0,3.0,0.0,0,1,0,2015-16,Premier League
15,E0,2015-12-05,Chelsea,Bournemouth,0.0,1.0,A,Bournemouth,Chelsea,A,W,3,13,1.0,0.0,1.0,1,0,0,2015-16,Premier League
16,E0,2015-12-12,Bournemouth,Man United,2.0,1.0,H,Bournemouth,Man United,H,W,3,16,2.0,1.0,1.0,1,0,0,2015-16,Premier League
17,E0,2015-12-19,West Brom,Bournemouth,1.0,2.0,A,Bournemouth,West Brom,A,W,3,19,2.0,1.0,1.0,1,0,0,2015-16,Premier League
18,E0,2015-12-26,Bournemouth,Crystal Palace,0.0,0.0,D,Bournemouth,Crystal Palace,H,D,1,20,0.0,0.0,0.0,0,1,0,2015-16,Premier League
19,E0,2015-12-28,Arsenal,Bournemouth,2.0,0.0,H,Bournemouth,Arsenal,A,L,0,20,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
20,E0,2016-01-02,Leicester,Bournemouth,0.0,0.0,D,Bournemouth,Leicester,A,D,1,21,0.0,0.0,0.0,0,1,0,2015-16,Premier League
21,E0,2016-01-12,Bournemouth,West Ham,1.0,3.0,A,Bournemouth,West Ham,H,L,0,21,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
22,E0,2016-01-16,Bournemouth,Norwich,3.0,0.0,H,Bournemouth,Norwich,H,W,3,24,3.0,0.0,3.0,1,0,0,2015-16,Premier League
23,E0,2016-01-23,Sunderland,Bournemouth,1.0,1.0,D,Bournemouth,Sunderland,A,D,1,25,1.0,1.0,0.0,0,1,0,2015-16,Premier League
24,E0,2016-02-02,Crystal Palace,Bournemouth,1.0,2.0,A,Bournemouth,Crystal Palace,A,W,3,28,2.0,1.0,1.0,1,0,0,2015-16,Premier League
25,E0,2016-02-07,Bournemouth,Arsenal,0.0,2.0,A,Bournemouth,Arsenal,H,L,0,28,0.0,2.0,-2.0,0,0,1,2015-16,Premier League
26,E0,2016-02-13,Bournemouth,Stoke,1.0,3.0,A,Bournemouth,Stoke,H,L,0,28,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
27,E0,2016-02-27,Watford,Bournemouth,0.0,0.0,D,Bournemouth,Watford,A,D,1,29,0.0,0.0,0.0,0,1,0,2015-16,Premier League
28,E0,2016-03-01,Bournemouth,Southampton,2.0,0.0,H,Bournemouth,Southampton,H,W,3,32,2.0,0.0,2.0,1,0,0,2015-16,Premier League
29,E0,2016-03-05,Newcastle,Bournemouth,1.0,3.0,A,Bournemouth,Newcastle,A,W,3,35,3.0,1.0,2.0,1,0,0,2015-16,Premier League
30,E0,2016-03-12,Bournemouth,Swansea,3.0,2.0,H,Bournemouth,Swansea,H,W,3,38,3.0,2.0,1.0,1,0,0,2015-16,Premier League
31,E0,2016-03-20,Tottenham,Bournemouth,3.0,0.0,H,Bournemouth,Tottenham,A,L,0,38,0.0,3.0,-3.0,0,0,1,2015-16,Premier League
32,E0,2016-04-02,Bournemouth,Man City,0.0,4.0,A,Bournemouth,Man City,H,L,0,38,0.0,4.0,-4.0,0,0,1,2015-16,Premier League
33,E0,2016-04-09,Aston Villa,Bournemouth,1.0,2.0,A,Bournemouth,Aston Villa,A,W,3,41,2.0,1.0,1.0,1,0,0,2015-16,Premier League
34,E0,2016-04-17,Bournemouth,Liverpool,1.0,2.0,A,Bournemouth,Liverpool,H,L,0,41,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
35,E0,2016-04-23,Bournemouth,Chelsea,1.0,4.0,A,Bournemouth,Chelsea,H,L,0,41,1.0,4.0,-3.0,0,0,1,2015-16,Premier League
36,E0,2016-04-30,Everton,Bournemouth,2.0,1.0,H,Bournemouth,Everton,A,L,0,41,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
37,E0,2016-05-07,Bournemouth,West Brom,1.0,1.0,D,Bournemouth,West Brom,H,D,1,42,1.0,1.0,0.0,0,1,0,2015-16,Premier League
38,E0,2016-05-17,Man United,Bournemouth,3.0,1.0,H,Bournemouth,Man United,A,L,0,42,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
1,E0,2015-08-08,Chelsea,Swansea,2.0,2.0,D,Chelsea,Swansea,H,D,1,1,2.0,2.0,0.0,0,1,0,2015-16,Premier League
2,E0,2015-08-16,Man City,Chelsea,3.0,0.0,H,Chelsea,Man City,A,L,0,1,0.0,3.0,-3.0,0,0,1,2015-16,Premier League
3,E0,2015-08-23,West Brom,Chelsea,2.0,3.0,A,Chelsea,West Brom,A,W,3,4,3.0,2.0,1.0,1,0,0,2015-16,Premier League
4,E0,2015-08-29,Chelsea,Crystal Palace,1.0,2.0,A,Chelsea,Crystal Palace,H,L,0,4,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
5,E0,2015-09-12,Everton,Chelsea,3.0,1.0,H,Chelsea,Everton,A,L,0,4,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
6,E0,2015-09-19,Chelsea,Arsenal,2.0,0.0,H,Chelsea,Arsenal,H,W,3,7,2.0,0.0,2.0,1,0,0,2015-16,Premier League
7,E0,2015-09-26,Newcastle,Chelsea,2.0,2.0,D,Chelsea,Newcastle,A,D,1,8,2.0,2.0,0.0,0,1,0,2015-16,Premier League
8,E0,2015-10-03,Chelsea,Southampton,1.0,3.0,A,Chelsea,Southampton,H,L,0,8,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
9,E0,2015-10-17,Chelsea,Aston Villa,2.0,0.0,H,Chelsea,Aston Villa,H,W,3,11,2.0,0.0,2.0,1,0,0,2015-16,Premier League
10,E0,2015-10-24,West Ham,Chelsea,2.0,1.0,H,Chelsea,West Ham,A,L,0,11,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
11,E0,2015-10-31,Chelsea,Liverpool,1.0,3.0,A,Chelsea,Liverpool,H,L,0,11,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
12,E0,2015-11-07,Stoke,Chelsea,1.0,0.0,H,Chelsea,Stoke,A,L,0,11,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
13,E0,2015-11-21,Chelsea,Norwich,1.0,0.0,H,Chelsea,Norwich,H,W,3,14,1.0,0.0,1.0,1,0,0,2015-16,Premier League
14,E0,2015-11-29,Tottenham,Chelsea,0.0,0.0,D,Chelsea,Tottenham,A,D,1,15,0.0,0.0,0.0,0,1,0,2015-16,Premier League
15,E0,2015-12-05,Chelsea,Bournemouth,0.0,1.0,A,Chelsea,Bournemouth,H,L,0,15,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
16,E0,2015-12-14,Leicester,Chelsea,2.0,1.0,H,Chelsea,Leicester,A,L,0,15,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
17,E0,2015-12-19,Chelsea,Sunderland,3.0,1.0,H,Chelsea,Sunderland,H,W,3,18,3.0,1.0,2.0,1,0,0,2015-16,Premier League
18,E0,2015-12-26,Chelsea,Watford,2.0,2.0,D,Chelsea,Watford,H,D,1,19,2.0,2.0,0.0,0,1,0,2015-16,Premier League
19,E0,2015-12-28,Man United,Chelsea,0.0,0.0,D,Chelsea,Man United,A,D,1,20,0.0,0.0,0.0,0,1,0,2015-16,Premier League
20,E0,2016-01-03,Crystal Palace,Chelsea,0.0,3.0,A,Chelsea,Crystal Palace,A,W,3,23,3.0,0.0,3.0,1,0,0,2015-16,Premier League
21,E0,2016-01-13,Chelsea,West Brom,2.0,2.0,D,Chelsea,West Brom,H,D,1,24,2.0,2.0,0.0,0,1,0,2015-16,Premier League
22,E0,2016-01-16,Chelsea,Everton,3.0,3.0,D,Chelsea,Everton,H,D,1,25,3.0,3.0,0.0,0,1,0,2015-16,Premier League
23,E0,2016-01-24,Arsenal,Chelsea,0.0,1.0,A,Chelsea,Arsenal,A,W,3,28,1.0,0.0,1.0,1,0,0,2015-16,Premier League
24,E0,2016-02-03,Watford,Chelsea,0.0,0.0,D,Chelsea,Watford,A,D,1,29,0.0,0.0,0.0,0,1,0,2015-16,Premier League
25,E0,2016-02-07,Chelsea,Man United,1.0,1.0,D,Chelsea,Man United,H,D,1,30,1.0,1.0,0.0,0,1,0,2015-16,Premier League
26,E0,2016-02-13,Chelsea,Newcastle,5.0,1.0,H,Chelsea,Newcastle,H,W,3,33,5.0,1.0,4.0,1,0,0,2015-16,Premier League
27,E0,2016-02-27,Southampton,Chelsea,1.0,2.0,A,Chelsea,Southampton,A,W,3,36,2.0,1.0,1.0,1,0,0,2015-16,Premier League
28,E0,2016-03-01,Norwich,Chelsea,1.0,2.0,A,Chelsea,Norwich,A,W,3,39,2.0,1.0,1.0,1,0,0,2015-16,Premier League
29,E0,2016-03-05,Chelsea,Stoke,1.0,1.0,D,Chelsea,Stoke,H,D,1,40,1.0,1.0,0.0,0,1,0,2015-16,Premier League
30,E0,2016-03-19,Chelsea,West Ham,2.0,2.0,D,Chelsea,West Ham,H,D,1,41,2.0,2.0,0.0,0,1,0,2015-16,Premier League
31,E0,2016-04-02,Aston Villa,Chelsea,0.0,4.0,A,Chelsea,Aston Villa,A,W,3,44,4.0,0.0,4.0,1,0,0,2015-16,Premier League
32,E0,2016-04-09,Swansea,Chelsea,1.0,0.0,H,Chelsea,Swansea,A,L,0,44,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
33,E0,2016-04-16,Chelsea,Man City,0.0,3.0,A,Chelsea,Man City,H,L,0,44,0.0,3.0,-3.0,0,0,1,2015-16,Premier League
34,E0,2016-04-23,Bournemouth,Chelsea,1.0,4.0,A,Chelsea,Bournemouth,A,W,3,47,4.0,1.0,3.0,1,0,0,2015-16,Premier League
35,E0,2016-05-02,Chelsea,Tottenham,2.0,2.0,D,Chelsea,Tottenham,H,D,1,48,2.0,2.0,0.0,0,1,0,2015-16,Premier League
36,E0,2016-05-07,Sunderland,Chelsea,3.0,2.0,H,Chelsea,Sunderland,A,L,0,48,2.0,3.0,-1.0,0,0,1,2015-16,Premier League
37,E0,2016-05-11,Liverpool,Chelsea,1.0,1.0,D,Chelsea,Liverpool,A,D,1,49,1.0,1.0,0.0,0,1,0,2015-16,Premier League
38,E0,2016-05-15,Chelsea,Leicester,1.0,1.0,D,Chelsea,Leicester,H,D,1,50,1.0,1.0,0.0,0,1,0,2015-16,Premier League
1,E0,2015-08-08,Norwich,Crystal Palace,1.0,3.0,A,Crystal Palace,Norwich,A,W,3,3,3.0,1.0,2.0,1,0,0,2015-16,Premier League
2,E0,2015-08-16,Crystal Palace,Arsenal,1.0,2.0,A,Crystal Palace,Arsenal,H,L,0,3,1.0,2.0,-1.0,0,0,1,2015-16,Premier League
3,E0,2015-08-22,Crystal Palace,Aston Villa,2.0,1.0,H,Crystal Palace,Aston Villa,H,W,3,6,2.0,1.0,1.0,1,0,0,2015-16,Premier League
4,E0,2015-08-29,Chelsea,Crystal Palace,1.0,2.0,A,Crystal Palace,Chelsea,A,W,3,9,2.0,1.0,1.0,1,0,0,2015-16,Premier League
5,E0,2015-09-12,Crystal Palace,Man City,0.0,1.0,A,Crystal Palace,Man City,H,L,0,9,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
6,E0,2015-09-20,Tottenham,Crystal Palace,1.0,0.0,H,Crystal Palace,Tottenham,A,L,0,9,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
7,E0,2015-09-27,Watford,Crystal Palace,0.0,1.0,A,Crystal Palace,Watford,A,W,3,12,1.0,0.0,1.0,1,0,0,2015-16,Premier League
8,E0,2015-10-03,Crystal Palace,West Brom,2.0,0.0,H,Crystal Palace,West Brom,H,W,3,15,2.0,0.0,2.0,1,0,0,2015-16,Premier League
9,E0,2015-10-17,Crystal Palace,West Ham,1.0,3.0,A,Crystal Palace,West Ham,H,L,0,15,1.0,3.0,-2.0,0,0,1,2015-16,Premier League
10,E0,2015-10-24,Leicester,Crystal Palace,1.0,0.0,H,Crystal Palace,Leicester,A,L,0,15,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
11,E0,2015-10-31,Crystal Palace,Man United,0.0,0.0,D,Crystal Palace,Man United,H,D,1,16,0.0,0.0,0.0,0,1,0,2015-16,Premier League
12,E0,2015-11-08,Liverpool,Crystal Palace,1.0,2.0,A,Crystal Palace,Liverpool,A,W,3,19,2.0,1.0,1.0,1,0,0,2015-16,Premier League
13,E0,2015-11-23,Crystal Palace,Sunderland,0.0,1.0,A,Crystal Palace,Sunderland,H,L,0,19,0.0,1.0,-1.0,0,0,1,2015-16,Premier League
14,E0,2015-11-28,Crystal Palace,Newcastle,5.0,1.0,H,Crystal Palace,Newcastle,H,W,3,22,5.0,1.0,4.0,1,0,0,2015-16,Premier League
15,E0,2015-12-07,Everton,Crystal Palace,1.0,1.0,D,Crystal Palace,Everton,A,D,1,23,1.0,1.0,0.0,0,1,0,2015-16,Premier League
16,E0,2015-12-12,Crystal Palace,Southampton,1.0,0.0,H,Crystal Palace,Southampton,H,W,3,26,1.0,0.0,1.0,1,0,0,2015-16,Premier League
